AccX,AccY,AccZ,MagX,MagY,MagZ,wX,wY,wZ,oX,oY,oZ,time,dt
5.24,-1.42,7.37,-39.5,-4.75,-30.375,149.8125,-13.875,16.0,-17557062274.189617,-22326899967.265575,-7104013623.1335745,23.806541442871094,0.10004043579101562
5.02,0.15,7.68,-40.875,-11.5,-27.0,152.1875,23.75,12.4375,-17557062259.00027,-22326899964.895164,-7104013621.892227,23.90634822845459,0.0998067855834961
7.36,2.06,6.42,-42.0,-17.0625,-24.1875,164.9375,41.75,27.625,-17557062242.476963,-22326899960.712685,-7104013619.124777,24.006527423858643,0.10017919540405273
2.91,0.86,6.95,-39.0,-19.75,-23.6875,112.9375,60.75,-40.125,-17557062231.17749,-22326899954.634605,-7104013623.139311,24.10657811164856,0.10005068778991699
4.27,6.93,8.02,-36.75,-25.6875,-21.6875,101.75,47.375,-45.25,-17557062221.02351,-22326899949.90689,-7104013627.6549635,24.206371545791626,0.0997934341430664
2.44,7.82,6.7,-33.0,-32.5,-18.375,125.6875,61.625,-30.0,-17557062208.449467,-22326899943.741795,-7104013630.656227,24.306413650512695,0.10004210472106934
4.07,8.26,6.36,-30.25,-37.0,-14.1875,35.875,24.0625,-17.125,-17557062204.875732,-22326899941.344776,-7104013632.362156,24.40602993965149,0.09961628913879395
0.35,8.43,4.64,-28.375,-38.5,-13.6875,13.0,-3.375,12.625,-17557062203.571888,-22326899941.683273,-7104013631.0959215,24.506325721740723,0.1002957820892334
2.73,8.17,4.97,-30.375,-38.5,-11.6875,9.875,-10.5,-3.4375,-17557062202.584152,-22326899942.733524,-7104013631.439754,24.6063494682312,0.10002374649047852
1.88,7.98,5.02,-29.375,-38.875,-10.875,3.125,-2.25,0.75,-17557062202.27158,-22326899942.958576,-7104013631.364737,24.70637273788452,0.10002326965332031
1.87,8.04,4.59,-27.0625,-38.0625,-11.0,-3.1875,-7.625,-3.25,-17557062202.59053,-22326899943.72155,-7104013631.6899395,24.806435108184814,0.10006237030029297
2.46,7.73,5.16,-29.375,-38.875,-10.5,-1.125,1.4375,2.375,-17557062202.702965,-22326899943.577885,-7104013631.452578,24.90637707710266,0.09994196891784668
2.52,8.18,5.08,-29.25,-38.0625,-11.0,-0.8125,0.4375,-1.3125,-17557062202.784252,-22326899943.534115,-7104013631.58389,25.00642466545105,0.10004758834838867
2.25,9.23,4.43,-29.6875,-38.0625,-9.6875,-12.875,6.875,3.75,-17557062204.07122,-22326899942.8469,-7104013631.209045,25.106383323669434,0.09995865821838379
1.75,7.65,7.32,-30.375,-38.0625,-13.5,-73.375,1.8125,29.5625,-17557062211.423267,-22326899942.66529,-7104013628.246934,25.206581592559814,0.10019826889038086
1.98,5.97,7.67,-33.0625,-35.0625,-17.5625,-144.6875,-60.75,20.25,-17557062225.87265,-22326899948.73216,-7104013626.224645,25.306447744369507,0.09986615180969238
4.78,3.59,6.36,-35.875,-28.375,-20.375,-122.0,-48.3125,18.6875,-17557062238.05571,-22326899953.5567,-7104013624.35849,25.406308889389038,0.09986114501953125
4.18,4.08,8.24,-37.1875,-23.5,-22.1875,-198.8125,-39.375,13.875,-17557062257.96415,-22326899957.499588,-7104013622.969092,25.50644564628601,0.10013675689697266
4.38,0.24,8.11,-39.75,-17.875,-25.5,-156.375,-19.3125,7.875,-17557062273.630753,-22326899959.434433,-7104013622.180127,25.606631755828857,0.10018610954284668
5.41,-1.71,7.28,-40.5,-12.5625,-28.5,-217.625,-5.5,-5.1875,-17557062295.35442,-22326899959.98345,-7104013622.697951,25.706453323364258,0.09982156753540039
4.05,-1.95,7.46,-38.25,-3.25,-31.6875,-114.0,8.3125,-31.25,-17557062306.744244,-22326899959.152943,-7104013625.820162,25.806364059448242,0.09991073608398438
5.04,-4.21,6.58,-39.375,0.375,-33.375,-58.3125,10.125,-15.875,-17557062312.58102,-22326899958.139484,-7104013627.409166,25.906458854675293,0.10009479522705078
5.04,-3.86,6.93,-39.75,1.5,-31.6875,0.6875,2.875,-2.5,-17557062312.51232,-22326899957.852192,-7104013627.658987,26.00638723373413,0.09992837905883789
5.02,-3.52,7.11,-39.0,2.0,-32.5,-2.0625,-2.625,1.875,-17557062312.718597,-22326899958.114723,-7104013627.471464,26.106399297714233,0.10001206398010254
5.31,-3.93,6.29,-39.375,2.0,-31.6875,13.5625,-2.6875,19.375,-17557062311.36154,-22326899958.383633,-7104013625.532816,26.206458568572998,0.10005927085876465
5.02,-3.06,7.55,-38.6875,2.0,-31.6875,93.3125,-7.875,19.5625,-17557062302.03239,-22326899959.170956,-7104013623.577006,26.30643606185913,0.09997749328613281
3.69,-1.14,8.47,-39.875,-2.0625,-31.1875,146.1875,23.9375,-15.625,-17557062287.41139,-22326899956.776836,-7104013625.139747,26.40645146369934,0.10001540184020996
3.02,-1.64,6.59,-39.75,-10.0,-30.375,188.25,7.875,-0.8125,-17557062268.587887,-22326899955.9894,-7104013625.22099,26.5064435005188,0.09999203681945801
5.13,2.83,8.51,-38.375,-18.25,-27.875,187.625,84.875,56.25,-17557062249.823303,-22326899947.500957,-7104013619.595366,26.606454610824585,0.10001111030578613
1.97,4.48,10.08,-36.375,-21.25,-27.5,82.0625,57.0,-29.5625,-17557062241.62107,-22326899941.80375,-7104013622.550168,26.706405639648438,0.09995102882385254
1.05,5.52,8.11,-32.25,-30.25,-25.75,103.75,11.9375,-43.1875,-17557062231.238487,-22326899940.609127,-7104013626.872075,26.80647873878479,0.10007309913635254
0.58,7.6,6.62,-31.1875,-32.5,-22.5,81.625,15.375,1.125,-17557062223.079556,-22326899939.0723,-7104013626.7596245,26.906435012817383,0.09995627403259277
1.69,8.06,6.47,-27.75,-36.25,-18.6875,46.3125,27.8125,-16.0625,-17557062218.447945,-22326899936.290833,-7104013628.365999,27.00644278526306,0.10000777244567871
2.24,7.86,5.43,-24.875,-39.5625,-18.6875,-31.75,-9.5,5.75,-17557062221.627506,-22326899937.2422,-7104013627.790174,27.106586456298828,0.1001436710357666
0.73,6.57,6.82,-28.5625,-38.875,-17.5,-20.1875,7.0625,6.875,-17557062223.648872,-22326899936.535034,-7104013627.101783,27.206716060638428,0.10012960433959961
1.77,6.9,6.63,-27.875,-37.75,-18.375,1.8125,15.1875,-1.25,-17557062223.46775,-22326899935.017353,-7104013627.226695,27.30664563179016,0.0999295711517334
1.23,7.09,6.58,-24.75,-37.375,-20.0,-4.0625,-4.9375,-5.5,-17557062223.8735,-22326899935.510498,-7104013627.776019,27.406522750854492,0.09987711906433105
1.4,6.8,6.58,-27.375,-37.75,-18.6875,-4.25,-3.125,-9.5625,-17557062224.299446,-22326899935.823692,-7104013628.734395,27.506745100021362,0.10022234916687012
1.45,7.2,6.45,-27.875,-37.375,-19.1875,-1.875,-7.0,-4.8125,-17557062224.48588,-22326899936.519714,-7104013629.212912,27.60617709159851,0.09943199157714844
1.39,6.86,6.69,-26.25,-37.75,-19.5,-0.5,2.25,-0.5625,-17557062224.536037,-22326899936.294006,-7104013629.269339,27.706491708755493,0.10031461715698242
